tick,queue_forbes_entry,queue_forbes_seg1,queue_forbes_seg2,queue_forbes_seg3,queue_combined_seg1,queue_combined_seg2,queue_cross_grant,queue_cross_smithfield,queue_cross_wood,queue_cross_stanwix,queue_cross_fortpitt,queue_fifth_entry,queue_fifth_seg1,queue_fifth_seg2,queue_fifth_seg3,queue_fifth_seg4,queue_fifth_seg5,queue_cross_craig,queue_cross_bigelow,queue_cross_bellefield,queue_cross_halket,queue_cross_dithridge,phase_Forbes & Grant St,switched_Forbes & Grant St,phase_Forbes & Smithfield St,switched_Forbes & Smithfield St,phase_Forbes & Wood St,switched_Forbes & Wood St,phase_Forbes & Fifth (Merge),switched_Forbes & Fifth (Merge),phase_Forbes & Stanwix St,switched_Forbes & Stanwix St,phase_Forbes & Fort Pitt Bridge,switched_Forbes & Fort Pitt Bridge,phase_Fifth & Craig St,switched_Fifth & Craig St,phase_Fifth & Bigelow Blvd,switched_Fifth & Bigelow Blvd,phase_Fifth & Bellefield Ave,switched_Fifth & Bellefield Ave,phase_Fifth & Halket St,switched_Fifth & Halket St,phase_Fifth & Dithridge St,switched_Fifth & Dithridge St
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
